doc_id,segmento,top_name,top_val,gap,conf_pos,sim_pos_Tecnico,sim_pos_Economico,sim_pos_Comercial,sim_pos_Ambiental,sim_pos_Social,sim_ova_Tecnico,sim_ova_Economico,sim_ova_Comercial,sim_ova_Ambiental,sim_ova_Social,sim_Tecnico,sim_Economico,sim_Comercial,sim_Ambiental,sim_Social,w_Tecnico,w_Economico,w_Comercial,w_Ambiental,w_Social
corpus,"Chile tiene metas ambiciosas en la adopción de la electromovilidad. El país apunta a que el número de vehículos eléctricos (VE) en circulación aumente considerablemente en los próximos años, para lograr que desde 2035 todas las unidades nuevas de vehículos que se sumen a la flota del transporte público mayor y menor sean eléctricas.",Tecnico,0.05782491,0.04484591,0.658474,0.658474,0.618611,0.56111443,0.6138516,0.5833194,0.59422415,0.6041899,0.618564,0.60537976,0.6130128,0.05782491,0.012979001,-0.051704615,0.0076246858,-0.02672401,1.0,0.0,0.0,0.0,0.0
corpus,"Otros factores que influyen en su toma de decisión son la menor autonomía en comparación con un vehículo convencional, la escasez de repuestos y capacidad técnica para mantención y reparación, y la limitada infraestructura de carga que existe actualmente en el país. En torno a este último desafío cabe mencionar el programa",Economico,0.021647543,0.008217007,0.6623597,0.6550557,0.6623597,0.626279,0.6252912,0.6466016,0.6401329,0.6383069,0.64732707,0.64757407,0.6422464,0.013430536,0.021647543,-0.01894325,-0.02005452,0.003919691,0.38287547,0.61712456,0.0,0.0,0.0
corpus,", que busca acelerar el despliegue de carga rápida en regiones y ciudades donde actualmente existe poca o nula oferta.",Comercial,0.05756548,0.05040446,0.6421037,0.5972997,0.56618613,0.6421037,0.5659061,0.58317614,0.58934295,0.59712136,0.578142,0.5971914,0.5928739,0.007161021,-0.027841747,0.05756548,-0.028156787,-0.008727998,0.0,0.0,1.0,0.0,0.0
corpus,"Generar capacidad local de instaladores, la cual debiese estar respaldada por la Superintendencia de Electricidad y Combustibles",Tecnico,0.029407978,0.015414745,0.66210115,0.66210115,0.6200501,0.61303437,0.6483992,0.63621897,0.62942564,0.6399385,0.6416924,0.6328512,0.6358962,0.029407978,-0.017899513,-0.025792181,0.013993233,0.00029051304,0.6775843,0.0,0.0,0.32241574,0.0
corpus,Asegurar que la red de electricidad domiciliaria dé abasto para incorporar infraestructura de carga.,Tecnico,0.060017884,0.041573882,0.6806861,0.6806861,0.6085585,0.61690193,0.5868063,0.64373153,0.6139996,0.6320315,0.62994564,0.63746953,0.6232382,0.060017884,-0.021125704,-0.011739314,-0.045596898,0.018444002,1.0,0.0,0.0,0.0,0.0
corpus,Financiar infraestructura de carga no domiciliaria,Economico,0.07175776,0.038962632,0.67291886,0.58426905,0.67291886,0.6382854,0.55359566,0.59660196,0.6153505,0.59318805,0.6018464,0.62301886,0.61226726,-0.027973264,0.07175776,0.03279513,-0.062480837,-0.014098734,0.0,1.0,0.0,0.0,0.0
corpus,"Destinar espacios de puntos de carga en su infraestructura, por ejemplo en concesiones viales.",Comercial,0.03595954,0.006196618,0.6680137,0.62705684,0.66250557,0.6680137,0.58810425,0.63456786,0.63829786,0.62943566,0.6280587,0.648036,0.63642013,-0.010116905,0.029762924,0.03595954,-0.053938568,-0.0016670227,0.0,0.45285767,0.5471423,0.0,0.0
corpus,"Generar proyectos en infraestructuras que no cuentan con la capacidad eléctrica, por ejemplo en el Aeropuerto que hoy se encuentra al tope de su carga.",Economico,0.01071018,0.0020769835,0.62140214,0.61910635,0.62140214,0.60687083,0.61955595,0.5924747,0.61007595,0.60950196,0.6131348,0.60996354,0.61673385,0.008127391,0.01071018,-0.0056375563,0.008633196,-0.021833211,0.0,0.5536872,0.0,0.4463128,0.0
corpus,"Generar soluciones de carga tipo Hub, como los strip center y otros centros de atracción y generación de viajes",Comercial,0.063685566,0.051568955,0.67136645,0.6105799,0.6255274,0.67136645,0.5779708,0.58834076,0.61580133,0.6120645,0.6006047,0.62395364,0.62136114,-0.00469929,0.012116611,0.063685566,-0.041384548,-0.02971834,0.0,0.0,1.0,0.0,0.0
corpus,"Se recomienda considerar invitaciones a la banca e instituciones financieras, a reuniones más acotadas y con el objetivo específico de: · Ayudar a viabilizar propuestas de programas de electromovilidad, o de implementación de mayor cobertura de infraestructura de carga eléctrica pública o semi pública. · Entregar retroalimentación respecto a los problemas que podrían enfrentarse al momento de aplicar el programa presentado, por ejemplo, en la evaluación de riesgos o asignación de variables crediticias, e ideas para solucionar los mismos",Economico,0.031778067,0.030051738,0.6832903,0.65657765,0.6832903,0.6328919,0.65195704,0.65049875,0.6546595,0.64798135,0.66058093,0.65581465,0.6561792,0.0017263293,0.031778067,-0.024920136,-0.0034718513,-0.0051124096,0.0,1.0,0.0,0.0,0.0
corpus,"Además de la necesidad de un subsidio, es imprescindible la implementación de infraestructura de recarga y de una recarga rápida que permita que las unidades de taxis estén en circulación la mayor cantidad de tiempo, obteniendo los ingresos para hacer el repago del crédito.",Economico,0.04487872,0.03470823,0.6206244,0.55474377,0.6206244,0.58977264,0.55346394,0.58505625,0.5872293,0.5707592,0.5784721,0.58754927,0.5796512,-0.029237002,0.04487872,0.01017049,-0.030676812,0.0048645437,0.0,1.0,0.0,0.0,0.0
corpus,"En el desarrollo del diagnóstico, se evidenció que cuando las personas tienen más información sobre los vehículos eléctricos tienen una mejor opinión de estos. Esto confirma que una de las principales herramientas para levantar barreras que han sido creadas por preconcepciones es compartir información, y es necesario buscar diversas formas de hacerlo para llegar a las diferentes personas e instituciones.",Social,0.05630395,0.030768037,0.6406549,0.61330557,0.57216394,0.54169047,0.58522,0.6406549,0.5849323,0.5952177,0.60283613,0.59195375,0.57809496,0.025535911,-0.020748407,-0.05503109,-0.0060603917,0.05630395,0.0,0.0,0.0,0.0,1.0
